threshold,n_items,median_r,median_nmae
0.0,42,0.1728877273051982,0.14123877769709664
0.6,33,0.14564848003203387,0.1316042923521437
0.7,27,0.037192645831380225,0.13577570802584848
0.8,19,-0.000859707120098002,0.16457640601502058
0.9,12,0.01816646935564111,0.15911529077635467
0.95,7,0.037192645831380225,0.16457640601502058
