deflator,variable,cntry,hat,stud_resid,cooks_d
USD,actrolga,AT,0.12840097219089058,1.1354882164299154,0.03165669615412195
USD,actrolga,BE,0.12991112617072517,-0.6488885709287104,0.01047783926165783
USD,actrolga,BG,0.0908010828336769,0.04540442269023735,3.431446116262573e-05
USD,actrolga,CH,0.18438891238838395,0.6758649581067787,0.017211562218296367
USD,actrolga,CY,0.20548003725746,0.5102436837093526,0.011221963361835036
USD,actrolga,DE,0.13051599279747264,-0.2395794235522828,0.0014359850348180517
USD,actrolga,EE,0.1372000463866086,0.7553308694886504,0.01512054214701579
USD,actrolga,ES,0.20090052169098482,-0.3389467440878002,0.004813842755137755
USD,actrolga,FI,0.2658765336308585,-1.0751972692165463,0.06978080198218511
USD,actrolga,FR,0.15542159276704076,-0.8405221854965382,0.02166798334939612
USD,actrolga,GB,0.13940275857975337,0.5362210108649687,0.00776261097506704
USD,actrolga,GR,0.22185701863222235,2.113361382940333,0.21223160201397978
USD,actrolga,HR,0.08958596223258315,-0.9806241029629342,0.015770842485382075
USD,actrolga,HU,0.08967455151101775,0.3056396081121886,0.0015337004588144802
USD,actrolga,IE,0.18989642351282945,0.40256494231358186,0.006331358250116743
USD,actrolga,IL,1.0000000000000002,4.440892098500626e-10,3.286920438420883e-08
USD,actrolga,IS,0.25836596695298936,0.20979724892106724,0.002555606490939646
USD,actrolga,IT,0.21177612089472334,-0.9897417288140393,0.043865179738932336
USD,actrolga,LT,0.12077343306678295,0.1938656072707395,0.0008604406083123001
USD,actrolga,LV,0.09154800199912777,-2.7792710296910688,0.129735083773264
USD,actrolga,ME,0.12876114050099915,1.7941609840679742,0.07929013240501608
USD,actrolga,NL,0.12500182194611326,-0.9932745942466161,0.02349073462132504
USD,actrolga,NO,0.27001570363591026,0.14941808097201842,0.0013763553121269273
USD,actrolga,PL,0.08945230326911043,1.223415094890055,0.024506723244805375
USD,actrolga,PT,0.20418772190940915,-1.2749399155891263,0.06950998173632761
USD,actrolga,RS,0.1283589766144627,0.2563310083174762,0.0016126481598276168
USD,actrolga,SE,0.26143625096612666,0.7131797599435484,0.03000713886720658
USD,actrolga,SI,0.15603597627629823,0.17067463138566719,0.0008976096341440356
USD,actrolga,SK,0.10031373534285296,-0.4307599053205417,0.003448169510550768
USD,actrolga,UA,0.49465931404258456,-0.6516492148770243,0.06927849231171142
USD,aesfdrk,AT,0.12840097219089058,-0.747385507552197,0.013714806006891213
USD,aesfdrk,BE,0.12991112617072517,0.3980212553765687,0.003942248642706781
USD,aesfdrk,BG,0.0908010828336769,2.993609133980159,0.14916641698057934
USD,aesfdrk,CH,0.18438891238838395,-0.8048853863437506,0.024410041393569244
USD,aesfdrk,CY,0.20548003725746,0.6908823720869659,0.020574144958026987
USD,aesfdrk,DE,0.13051599279747264,0.26628653934939767,0.0017739824126532966
USD,aesfdrk,EE,0.1372000463866086,-0.4757128196933267,0.0059976705297609895
USD,aesfdrk,ES,0.20090052169098482,-1.3345715183680817,0.07462986762776465
USD,aesfdrk,FI,0.2658765336308585,0.2771551718326562,0.004636663997852181
USD,aesfdrk,FR,0.15542159276704076,0.42376503465994536,0.005507701190712304
USD,aesfdrk,GB,0.13940275857975337,0.09580703043767137,0.0002478077739724379
USD,aesfdrk,GR,0.22185701863222235,0.3453039276726505,0.005665856281289549
USD,aesfdrk,HR,0.08958596223258315,-1.5276847559626612,0.0382751813337895
USD,aesfdrk,HU,0.08967455151101775,-0.043733412486284796,3.140132775182377e-05
USD,aesfdrk,IE,0.18989642351282945,0.5512092043282787,0.0118701964752874
USD,aesfdrk,IL,1.0000000000000002,4.440892098500626e-10,3.286920438420883e-08
USD,aesfdrk,IS,0.25836596695298936,-0.4973942726771883,0.014364680306751022
USD,aesfdrk,IT,0.21177612089472334,1.0100185209883505,0.04568091836521968
USD,aesfdrk,LT,0.12077343306678295,1.2974845282588843,0.0385410670628961
USD,aesfdrk,LV,0.09154800199912777,0.7463744573778447,0.00935640845086795
USD,aesfdrk,ME,0.12876114050099915,-0.40770116627312347,0.004094305400033668
USD,aesfdrk,NL,0.12500182194611326,-0.1810497642555159,0.0007804657896237669
USD,aesfdrk,NO,0.27001570363591026,-0.4434692259428411,0.012124148034436257
USD,aesfdrk,PL,0.08945230326911043,-0.8008688774580817,0.010501719418227359
USD,aesfdrk,PT,0.20418772190940915,-0.6996367604165079,0.020932108559628536
USD,aesfdrk,RS,0.1283589766144627,-1.4673152339877575,0.05284260105075115
USD,aesfdrk,SE,0.26143625096612666,0.6629922228885855,0.02593244332189083
USD,aesfdrk,SI,0.15603597627629823,-1.3824485766520054,0.05889081024180276
USD,aesfdrk,SK,0.10031373534285296,1.3901942853500184,0.035914436739096056
USD,aesfdrk,UA,0.49465931404258456,-0.527729437427904,0.045435291186190996
USD,atchctr,AT,0.12840097219089058,1.6239592336428537,0.06475160985373625
USD,atchctr,BE,0.12991112617072517,-2.0059798188664364,0.1001346999928851
USD,atchctr,BG,0.0908010828336769,-0.18828155458390794,0.0005900603308295533
USD,atchctr,CH,0.18438891238838395,0.9617183931084256,0.034849477850948135
USD,atchctr,CY,0.20548003725746,-0.1077121114588251,0.0005000836440670655
USD,atchctr,DE,0.13051599279747264,-0.4453438303392735,0.004961828654983452
USD,atchctr,EE,0.1372000463866086,-0.12665421593805204,0.00042514022317799546
USD,atchctr,ES,0.20090052169098482,-1.0936577821734355,0.050117784252226086
USD,atchctr,FI,0.2658765336308585,0.9469463355865682,0.05412655503231807
USD,atchctr,FR,0.15542159276704076,1.5267882937830002,0.07149534627596577
USD,atchctr,GB,0.13940275857975337,-2.025880755104392,0.11080208318373647
USD,atchctr,GR,0.22185701863222235,1.5191897521930329,0.10966967637541332
USD,atchctr,HR,0.08958596223258315,-0.11513642373638396,0.00021740785848958568
USD,atchctr,HU,0.08967455151101775,0.6897946251978414,0.007811975836932045
USD,atchctr,IE,0.18989642351282945,1.401562933507391,0.07674501799045284
USD,atchctr,IL,1.0000000000000002,4.440892098500626e-09,3.286920438420883e-06
USD,atchctr,IS,0.25836596695298936,-0.6295140244918992,0.02300939630818463
USD,atchctr,IT,0.21177612089472334,-0.6074152124858221,0.016521424116944565
USD,atchctr,LT,0.12077343306678295,-0.35027071593034936,0.002808840114652873
USD,atchctr,LV,0.09154800199912777,0.3003759918456973,0.0015153957724371072
USD,atchctr,ME,0.12876114050099915,-1.0599612582521234,0.027674278721584223
USD,atchctr,NL,0.12500182194611326,-0.9444889461818385,0.021239862600737458
USD,atchctr,NO,0.27001570363591026,0.687375868379116,0.029128144302354515
USD,atchctr,PL,0.08945230326911043,1.0818478806445528,0.01916328569183247
USD,atchctr,PT,0.20418772190940915,0.30582119860788376,0.003999474299067231
USD,atchctr,RS,0.1283589766144627,0.053038847425663026,6.90439277574715e-05
USD,atchctr,SE,0.26143625096612666,-0.9966461448265644,0.058601475585823314
USD,atchctr,SI,0.15603597627629823,0.015340154067265906,7.251185259661353e-06
USD,atchctr,SK,0.10031373534285296,-1.0688428361845264,0.021229793179011566
USD,atchctr,UA,0.49465931404258456,0.9822903374235283,0.15741656051229896
USD,atcherp,AT,0.12840097219089058,0.8607429521652947,0.01819061051657896
USD,atcherp,BE,0.12991112617072517,-0.11622991314186484,0.00033617646685148617
USD,atcherp,BG,0.0908010828336769,-1.3396644377359377,0.02987259323314468
USD,atcherp,CH,0.18438891238838395,-0.1408125426814299,0.0007471075282877866
USD,atcherp,CY,0.20548003725746,-1.288939381031684,0.07161080531025395
USD,atcherp,DE,0.13051599279747264,0.7681335954342072,0.01476129306704507
USD,atcherp,EE,0.1372000463866086,-0.3496824360647237,0.003240712712457707
USD,atcherp,ES,0.20090052169098482,1.0314229768640215,0.04457615150048403
USD,atcherp,FI,0.2658765336308585,0.7670651996267697,0.035516013395083215
USD,atcherp,FR,0.15542159276704076,0.5866923969710905,0.010557012878588637
USD,atcherp,GB,0.13940275857975337,-1.3616249891866805,0.050053585662763724
USD,atcherp,GR,0.22185701863222235,-0.5359904801417633,0.013651383583828523
USD,atcherp,HR,0.08958596223258315,0.37091539457754186,0.0022563137209476655
USD,atcherp,HU,0.08967455151101775,2.2164764882598185,0.08065801629373642
USD,atcherp,IE,0.18989642351282945,-0.3682823528428351,0.00529891317637849
USD,atcherp,IL,1.0000000000000002,4.440892098500626e-09,3.286920438420883e-06
USD,atcherp,IS,0.25836596695298936,-0.781536608563083,0.03546443591322662
USD,atcherp,IT,0.21177612089472334,-0.46860857308212556,0.009833239349062807
USD,atcherp,LT,0.12077343306678295,0.046865713880095236,5.028400170148628e-05
USD,atcherp,LV,0.09154800199912777,-0.5148238749022851,0.004451567814556364
USD,atcherp,ME,0.12876114050099915,-0.8394332532376226,0.017356760275829736
USD,atcherp,NL,0.12500182194611326,-0.24459337037194565,0.0014244503190410378
USD,atcherp,NO,0.27001570363591026,-0.1818751659716461,0.0020392527660409642
USD,atcherp,PL,0.08945230326911043,1.4991827165273137,0.03679990610047465
USD,atcherp,PT,0.20418772190940915,1.250717270425177,0.06689382531161561
USD,atcherp,RS,0.1283589766144627,-2.5714527678851073,0.1622910002287172
USD,atcherp,SE,0.26143625096612666,0.19921919377563813,0.00234147176828061
USD,atcherp,SI,0.15603597627629823,0.030413720611291415,2.850287461289456e-05
USD,atcherp,SK,0.10031373534285296,0.39060378028526926,0.0028352473026425178
USD,atcherp,UA,0.49465931404258456,1.3160813638457811,0.28257657298627453
USD,cptppola,AT,0.12840097219089058,1.7956622482538707,0.07916799184495787
USD,cptppola,BE,0.12991112617072517,-1.5206431442216692,0.05754215182495945
USD,cptppola,BG,0.0908010828336769,1.1597254982101026,0.02238676184395771
