condition,trustworthy,n_items,median_r_bc,n_gt70,n_gt50,n_negative,median_r_wc,r_wc_ci_lo,r_wc_ci_hi,pct_of_ceiling
qwen_1p,True,42,0.44330308573014837,9,20,11,0.0283388389839045,0.0240522293631711,0.034288126848820384,13.475434609559915
qwen_3p,True,42,0.44256727373028687,5,17,13,0.0235744083456911,0.01675838704815352,0.03024909916494304,11.209894600899238
llama_1p,True,42,0.34863359870536736,2,13,15,0.0077866575405920995,0.004822691403298962,0.011673391295540299,3.702642672654351
llama_3p,False,42,0.1728877273051982,1,3,15,0.006385203210918599,0.0023542911609690503,0.0094320856100806,3.036235478325535
qwen_1p_anchored,True,22,0.6500657297648764,9,14,0,0.0791800024064394,0.073929205609804,0.0893003476695527,37.650975942196574
