scale,group,n,z_mean,z_median,raw_mean,raw_median,n_improved,wilcoxon_p
numeric,forward (ctrl+placebo),10,0.15273758171707819,0.15884959765745715,0.08944902636781367,0.10682174160213478,9,0.02734375
numeric,reverse (all 12),12,-0.26541680807016405,-0.20253155844141982,-0.2035454696186735,-0.17074714498884985,1,0.00146484375
numeric,reverse (excl. noise-dominated),10,-0.24168200793622102,-0.15571148495438636,-0.1840141128960211,-0.13862227567056395,1,0.005859375
anchored,forward (ctrl+placebo),10,0.2149513160504164,0.1960162091907936,0.12489959067565137,0.1274791630296646,10,0.001953125
anchored,reverse (all 12),12,0.2879970524443391,0.1436797826998703,0.22041008548523164,0.1267494731959622,9,0.05224609375
anchored,reverse (excl. noise-dominated),10,0.2435277042947396,0.1436797826998703,0.17909772384094894,0.1267494731959622,8,0.02734375
