deflator,variable,country,bloc,bloc_size,dummy_survives_holdout,predicted_as,truth,pred_regression,pred_region_mean,hat_insample,err_regression,err_region_mean
USD,actrolga,IL,Other,1,False,CentralEast (reference category),2.11740885990875,1.981890025769246,2.0885529172488337,1.0000000000000002,0.03387970853487604,0.007213985664979106
USD,aesfdrk,IL,Other,1,False,CentralEast (reference category),2.003908804589909,1.7653080737318876,1.8887783493097496,1.0000000000000002,0.07953357695267378,0.03837681842671977
USD,atchctr,IL,Other,1,False,CentralEast (reference category),7.589408771063847,7.760123390269445,7.817350824797712,1.0000000000000002,0.017071461920559815,0.0227942053733865
USD,atcherp,IL,Other,1,False,CentralEast (reference category),2.430308978588516,6.23452250902923,5.881270686022354,1.0000000000000002,0.38042135304407143,0.34509617074338383
USD,cptppola,IL,Other,1,False,CentralEast (reference category),2.110375003285951,1.936640874885202,2.141955500156684,1.0000000000000002,0.043433532100187244,0.007895124217683236
USD,euftf,IL,Other,1,False,CentralEast (reference category),4.852961097473329,5.03966583397107,5.45261664065371,1.0000000000000002,0.018670473649774165,0.05996555431803818
USD,freehms,IL,Other,1,False,CentralEast (reference category),2.771926047623225,2.4247537266805064,2.1105021214233832,1.0000000000000002,0.08679308023567966,0.16535598154996045
USD,gincdif,IL,Other,1,False,CentralEast (reference category),2.254488633535265,2.1346095463640515,2.0853975590745266,1.0000000000000002,0.029969771792803357,0.042272768615184586
USD,happy,IL,Other,1,False,CentralEast (reference category),7.378506798276478,7.71036014292397,7.388526750544797,1.0000000000000002,0.03318533446474925,0.0010019952268319088
USD,health,IL,Other,1,False,CentralEast (reference category),1.805679135155322,2.1329882740848647,2.1638380863861886,1.0000000000000002,0.08182728473238565,0.08953973780771662
USD,hincfel,IL,Other,1,False,CentralEast (reference category),1.992257796033195,1.681283669570059,1.947286459548251,1.0000000000000002,0.10365804215437868,0.014990445494981334
USD,hmsacld,IL,Other,1,False,CentralEast (reference category),3.004916357312073,3.45348028376181,2.8306021220065904,1.0000000000000002,0.11214098161243424,0.04357855882637063
USD,hmsfmlsh,IL,Other,1,False,CentralEast (reference category),3.092598797312127,3.6237483119803713,3.817326688802155,1.0000000000000002,0.13278737866706103,0.18118197287250692
USD,imbgeco,IL,Other,1,False,CentralEast (reference category),4.957305921928851,4.888284041436541,5.407891427635768,1.0000000000000002,0.0069021880492310395,0.045058550570691656
USD,imdfetn,IL,Other,1,False,CentralEast (reference category),2.928104329006959,2.5912336239334106,2.3328802445710966,1.0000000000000002,0.11229023502451607,0.19840802814528744
USD,impcntr,IL,Other,1,False,CentralEast (reference category),3.170063969761885,2.6020522397914654,2.400116250730106,1.0000000000000002,0.18933724332347315,0.25664923967725956
USD,imsmetn,IL,Other,1,False,CentralEast (reference category),1.7927284968003243,2.2776353902623367,2.0195557661412833,1.0000000000000002,0.16163563115400414,0.07560908978031966
USD,imueclt,IL,Other,1,False,CentralEast (reference category),5.041758655711063,4.892810664735575,5.466398546037696,1.0000000000000002,0.014894799097548806,0.04246398903266328
USD,imwbcnt,IL,Other,1,False,CentralEast (reference category),4.77581453687835,4.746601711099701,5.141488984037683,1.0000000000000002,0.0029212825778649255,0.036567444715933296
USD,inprdsc,IL,Other,1,False,CentralEast (reference category),2.4812293357499637,2.4710564338526324,2.766341602717645,1.0000000000000002,0.0016954836495552221,0.04751871116128018
USD,polintr,IL,Other,1,False,CentralEast (reference category),2.447442839207694,2.797009188589492,2.6773714770581893,1.0000000000000002,0.11652211646059933,0.0766428792834984
USD,pplfair,IL,Other,1,False,CentralEast (reference category),5.314318458840991,5.578817065268392,5.602735324992891,1.0000000000000002,0.02644986064274013,0.028841686615190022
USD,pplhlp,IL,Other,1,False,CentralEast (reference category),5.100096960518647,5.087299470149077,4.988532978776785,1.0000000000000002,0.0012797490369569787,0.011156398174186144
USD,ppltrst,IL,Other,1,False,CentralEast (reference category),5.174017172464776,5.004635957188826,5.0312783580988025,1.0000000000000002,0.01693812152759495,0.014273881436597335
USD,psppipla,IL,Other,1,False,CentralEast (reference category),2.0573491368573285,2.1221412692542843,2.1439639901457808,1.0000000000000002,0.01619803309923895,0.021653713322113077
