rung,k,median_r_bc,between_sd_ratio
demographics,3,-0.028606178617098986,0.04606869385360629
+ country,4,0.5232431078756588,0.22206327331552492
+ politics,6,0.31614892573077513,0.1872667807787831
+ economic position,12,0.42277168674059773,0.26595808020262623
full profile,20,0.44330308573014837,0.2820805217828207
