name,all_median,all_mean,fwd_median,fwd_mean,rev_median,rev_mean,all_median_z,all_mean_z,fwd_median_z,fwd_mean_z,rev_median_z,rev_mean_z,n_fwd,n_rev,fwd_wilcoxon_p
country label effect (rich baseline),0.09120325856702574,0.030518365527834147,0.13518355374039698,0.13447866662093289,-0.17556434441393726,-0.20139307537215537,0.13039666172008418,0.05334939178259545,0.19669905930602594,0.19316679310386853,-0.17616084830120923,-0.2585509650110137,29,13,2.384185791015625e-06
country label effect (sparse baseline),0.5372941478158562,0.28330895029185593,0.6401840319576082,0.5768592654518232,-0.3569751659645709,-0.37153406044960957,0.6601080524727948,0.3280660104497334,0.7307038968211481,0.6843840979670514,-0.4389655822604178,-0.4667974155504375,29,13,1.1175870895385742e-08
political-identity variables (full minus nopolitical),0.012840640998229819,0.008140420094414489,-0.002903827311010465,-0.015260167141769587,0.04151897283010775,0.06034173008282511,0.02480468995453458,0.0038045070852628675,-0.004624172143638083,-0.03011718717242976,0.060982620495114825,0.07947597889088488,29,13,0.46793800592422485
all enrichment beyond country (full minus minimal),0.007235567016961875,0.02546737096205281,-0.02253399033486958,-0.010322233875783555,0.06259785192674283,0.10530572021568775,0.008407339188249319,0.04065391413838267,-0.024870983112309508,-0.0009483664760219377,0.16321722887839504,0.1334590016628237,29,13,0.6544641703367233
