comparison,arm_a,arm_b,mean_a,mean_b,diff,se,t,p,n
Qwen: 1P vs 3P,qwen_1p,qwen_3p,0.027148249598176792,0.028749649455246457,-0.001601399857069669,0.005821117434608133,-0.27510179532694345,0.784619679070119,42
Llama: 1P vs 3P,llama_1p,llama_3p,0.009165095794441459,0.005604550353944723,0.003560545440496737,0.003585106645778015,0.9931491005127553,0.3264627324665433,42
1P: Qwen vs Llama,qwen_1p,llama_1p,0.027148249598176792,0.009165095794441459,0.017983153803735327,0.006389492352651825,2.814488665327504,0.007472047384443312,42
3P: Qwen vs Llama,qwen_3p,llama_3p,0.028749649455246457,0.005604550353944723,0.02314509910130174,0.010167864213078914,2.2762989961579367,0.02811858767411745,42
