block,margin,variable,reverse,dz
minority status,add,trstprt,False,-0.107802
minority status,add,trstun,False,0.061508
minority status,add,vote,True,0.199763
minority status,remove,actrolga,False,-0.128434
minority status,remove,aesfdrk,True,0.034314
minority status,remove,atchctr,False,-0.024051
minority status,remove,atcherp,False,0.129684
minority status,remove,cptppola,False,0.004501
minority status,remove,euftf,False,-0.023863
minority status,remove,freehms,True,-0.243443
minority status,remove,gincdif,True,0.114127
minority status,remove,happy,False,0.023235
minority status,remove,health,True,0.127569
minority status,remove,hincfel,True,0.001717
minority status,remove,hmsacld,True,-0.163093
minority status,remove,hmsfmlsh,True,0.099822
minority status,remove,imbgeco,False,0.076724
minority status,remove,imdfetn,True,-0.021067
minority status,remove,impcntr,True,-0.154665
minority status,remove,imsmetn,True,-0.045078
minority status,remove,imueclt,False,0.147279
minority status,remove,imwbcnt,False,0.089385
minority status,remove,inprdsc,False,-0.265691
minority status,remove,polintr,True,-0.170703
minority status,remove,pplfair,False,0.032296
minority status,remove,pplhlp,False,0.01116
minority status,remove,ppltrst,False,0.114401
minority status,remove,psppipla,False,0.222235
minority status,remove,psppsgva,False,-0.029361
minority status,remove,rlgatnd,True,-0.235549
minority status,remove,sclmeet,False,0.042776
minority status,remove,stfdem,False,0.094051
minority status,remove,stfeco,False,0.012015
minority status,remove,stfedu,False,0.034792
minority status,remove,stfgov,False,-0.026164
minority status,remove,stfhlth,False,0.011309
minority status,remove,stflife,False,0.066625
minority status,remove,trstep,False,0.040242
minority status,remove,trstlgl,False,0.009771
minority status,remove,trstplc,False,0.12858
minority status,remove,trstplt,False,0.009428
minority status,remove,trstprl,False,0.011371
minority status,remove,trstprt,False,-0.037641
minority status,remove,trstun,False,0.073789
minority status,remove,vote,True,-0.213942
domicile,add,actrolga,False,0.008889
domicile,add,aesfdrk,True,0.116759
domicile,add,atchctr,False,-0.116795
domicile,add,atcherp,False,-0.081384
domicile,add,cptppola,False,0.058718
domicile,add,euftf,False,-0.104164
domicile,add,freehms,True,0.260822
domicile,add,gincdif,True,0.132955
domicile,add,happy,False,0.048571
domicile,add,health,True,0.032573
domicile,add,hincfel,True,0.172342
domicile,add,hmsacld,True,0.27182
domicile,add,hmsfmlsh,True,-0.541349
domicile,add,imbgeco,False,0.167221
domicile,add,imdfetn,True,-0.084051
domicile,add,impcntr,True,0.347166
domicile,add,imsmetn,True,-0.288659
domicile,add,imueclt,False,-0.128686
domicile,add,imwbcnt,False,0.094606
domicile,add,inprdsc,False,0.016681
domicile,add,polintr,True,-0.238718
domicile,add,pplfair,False,0.174389
domicile,add,pplhlp,False,0.147656
domicile,add,ppltrst,False,0.067598
domicile,add,psppipla,False,0.000921
domicile,add,psppsgva,False,-0.016377
domicile,add,rlgatnd,True,-0.146985
domicile,add,sclmeet,False,-0.087092
domicile,add,stfdem,False,0.035916
domicile,add,stfeco,False,0.017279
domicile,add,stfedu,False,0.031134
domicile,add,stfgov,False,0.017913
domicile,add,stfhlth,False,-0.060965
domicile,add,stflife,False,0.126818
domicile,add,trstep,False,0.15532
domicile,add,trstlgl,False,0.082089
domicile,add,trstplc,False,0.050847
domicile,add,trstplt,False,0.139077
domicile,add,trstprl,False,0.080365
domicile,add,trstprt,False,0.004354
domicile,add,trstun,False,-0.089856
domicile,add,vote,True,0.554065
domicile,remove,actrolga,False,-0.064231
domicile,remove,aesfdrk,True,-0.028917
domicile,remove,atchctr,False,-0.093378
domicile,remove,atcherp,False,0.035352
domicile,remove,cptppola,False,0.046097
domicile,remove,euftf,False,0.058314
domicile,remove,freehms,True,-0.062105
domicile,remove,gincdif,True,0.084544
domicile,remove,happy,False,-0.016982
domicile,remove,health,True,0.087561
domicile,remove,hincfel,True,-0.03162
domicile,remove,hmsacld,True,-0.096124
domicile,remove,hmsfmlsh,True,0.286136
domicile,remove,imbgeco,False,0.090518
domicile,remove,imdfetn,True,0.009197
domicile,remove,impcntr,True,-0.035007
domicile,remove,imsmetn,True,0.189971
domicile,remove,imueclt,False,0.082588
domicile,remove,imwbcnt,False,0.098883
domicile,remove,inprdsc,False,-0.069595
domicile,remove,polintr,True,-0.017494
domicile,remove,pplfair,False,0.164274
domicile,remove,pplhlp,False,-0.045309
domicile,remove,ppltrst,False,0.092799
domicile,remove,psppipla,False,0.158423
domicile,remove,psppsgva,False,0.170233
domicile,remove,rlgatnd,True,0.018183
domicile,remove,sclmeet,False,0.117895
domicile,remove,stfdem,False,0.021387
domicile,remove,stfeco,False,-0.027116
domicile,remove,stfedu,False,-0.046952
domicile,remove,stfgov,False,-0.004721
domicile,remove,stfhlth,False,0.046151
domicile,remove,stflife,False,0.035142
domicile,remove,trstep,False,0.006582
domicile,remove,trstlgl,False,-0.018081
domicile,remove,trstplc,False,0.037142
domicile,remove,trstplt,False,-0.037006
domicile,remove,trstprl,False,-0.013359
domicile,remove,trstprt,False,-0.061263
domicile,remove,trstun,False,-0.038659
domicile,remove,vote,True,-0.138024
