block,margin,variable,reverse,dz
NUTS region code,remove,stflife,False,0.076165
NUTS region code,remove,trstep,False,0.053499
NUTS region code,remove,trstlgl,False,0.007409
NUTS region code,remove,trstplc,False,0.032896
NUTS region code,remove,trstplt,False,0.067503
NUTS region code,remove,trstprl,False,0.005754
NUTS region code,remove,trstprt,False,0.02066
NUTS region code,remove,trstun,False,0.080651
NUTS region code,remove,vote,True,-0.091581
political identity,add,actrolga,False,-0.745378
political identity,add,aesfdrk,True,0.209784
political identity,add,atchctr,False,-0.029101
political identity,add,atcherp,False,-0.336086
political identity,add,cptppola,False,-1.117161
political identity,add,euftf,False,-0.225259
political identity,add,freehms,True,0.666522
political identity,add,gincdif,True,0.019427
political identity,add,happy,False,-0.125287
political identity,add,health,True,0.220458
political identity,add,hincfel,True,0.52183
political identity,add,hmsacld,True,0.039104
political identity,add,hmsfmlsh,True,-0.146829
political identity,add,imbgeco,False,-0.149043
political identity,add,imdfetn,True,0.015924
political identity,add,impcntr,True,-0.091585
political identity,add,imsmetn,True,0.128567
political identity,add,imueclt,False,-0.446189
political identity,add,imwbcnt,False,-0.104035
political identity,add,inprdsc,False,0.121216
political identity,add,polintr,True,-0.16179
political identity,add,pplfair,False,0.091517
political identity,add,pplhlp,False,-0.279053
political identity,add,ppltrst,False,-0.122217
political identity,add,psppipla,False,-0.495753
political identity,add,psppsgva,False,-0.225574
political identity,add,rlgatnd,True,-0.040726
political identity,add,sclmeet,False,0.031604
political identity,add,stfdem,False,0.207164
political identity,add,stfeco,False,0.068646
political identity,add,stfedu,False,-0.146785
political identity,add,stfgov,False,-0.040857
political identity,add,stfhlth,False,-0.108925
political identity,add,stflife,False,-0.21214
political identity,add,trstep,False,-0.210088
political identity,add,trstlgl,False,0.06059
political identity,add,trstplc,False,-0.027873
political identity,add,trstplt,False,0.06944
political identity,add,trstprl,False,0.199902
political identity,add,trstprt,False,0.05594
political identity,add,trstun,False,-0.352302
political identity,add,vote,True,0.569475
political identity,remove,actrolga,False,-0.329295
political identity,remove,aesfdrk,True,0.068688
political identity,remove,atchctr,False,0.169443
political identity,remove,atcherp,False,-0.050916
political identity,remove,cptppola,False,-0.140019
political identity,remove,euftf,False,-0.083617
political identity,remove,freehms,True,0.204694
political identity,remove,gincdif,True,0.268259
political identity,remove,happy,False,0.04373
political identity,remove,health,True,0.024502
political identity,remove,hincfel,True,-0.039124
political identity,remove,hmsacld,True,0.093949
political identity,remove,hmsfmlsh,True,0.229913
political identity,remove,imbgeco,False,0.142572
political identity,remove,imdfetn,True,0.060983
political identity,remove,impcntr,True,0.038185
political identity,remove,imsmetn,True,0.148237
political identity,remove,imueclt,False,0.12094
political identity,remove,imwbcnt,False,0.136443
political identity,remove,inprdsc,False,-0.156424
political identity,remove,polintr,True,0.025107
political identity,remove,pplfair,False,-0.073792
political identity,remove,pplhlp,False,-0.290288
political identity,remove,ppltrst,False,-0.060272
political identity,remove,psppipla,False,-0.208041
political identity,remove,psppsgva,False,-0.255584
political identity,remove,rlgatnd,True,-0.103071
political identity,remove,sclmeet,False,0.070848
political identity,remove,stfdem,False,0.045829
political identity,remove,stfeco,False,0.059538
political identity,remove,stfedu,False,0.080316
political identity,remove,stfgov,False,-0.016497
political identity,remove,stfhlth,False,-0.004624
political identity,remove,stflife,False,0.020478
political identity,remove,trstep,False,0.027744
political identity,remove,trstlgl,False,-0.002759
political identity,remove,trstplc,False,0.028451
political identity,remove,trstplt,False,-0.070896
political identity,remove,trstprl,False,0.046328
political identity,remove,trstprt,False,-0.036862
political identity,remove,trstun,False,-0.086172
political identity,remove,vote,True,0.012865
ascriptive,remove,actrolga,False,-0.099028
ascriptive,remove,aesfdrk,True,0.011982
ascriptive,remove,atchctr,False,0.310556
ascriptive,remove,atcherp,False,0.046556
ascriptive,remove,cptppola,False,0.048739
ascriptive,remove,euftf,False,-0.041163
ascriptive,remove,freehms,True,-0.169166
ascriptive,remove,gincdif,True,-0.211648
ascriptive,remove,happy,False,-0.028146
ascriptive,remove,health,True,-0.105254
ascriptive,remove,hincfel,True,-0.087152
ascriptive,remove,hmsacld,True,-0.106381
ascriptive,remove,hmsfmlsh,True,0.750791
ascriptive,remove,imbgeco,False,0.087215
ascriptive,remove,imdfetn,True,0.009356
ascriptive,remove,impcntr,True,-0.109511
ascriptive,remove,imsmetn,True,0.097111
ascriptive,remove,imueclt,False,0.138443
ascriptive,remove,imwbcnt,False,0.015364
ascriptive,remove,inprdsc,False,-0.334745
ascriptive,remove,polintr,True,-0.086408
ascriptive,remove,pplfair,False,-0.119154
ascriptive,remove,pplhlp,False,-0.129545
ascriptive,remove,ppltrst,False,0.089892
ascriptive,remove,psppipla,False,0.137271
ascriptive,remove,psppsgva,False,0.09879
ascriptive,remove,rlgatnd,True,-0.022392
ascriptive,remove,sclmeet,False,-0.002718
ascriptive,remove,stfdem,False,0.014564
ascriptive,remove,stfeco,False,0.030592
ascriptive,remove,stfedu,False,0.021439
ascriptive,remove,stfgov,False,-0.026553
ascriptive,remove,stfhlth,False,-0.029263
ascriptive,remove,stflife,False,0.038534
ascriptive,remove,trstep,False,-0.000266
ascriptive,remove,trstlgl,False,0.010189
ascriptive,remove,trstplc,False,0.048296
ascriptive,remove,trstplt,False,0.047983
ascriptive,remove,trstprl,False,0.084692
ascriptive,remove,trstprt,False,0.049671
ascriptive,remove,trstun,False,-0.004883
ascriptive,remove,vote,True,-0.060862
"education, activity, income",add,actrolga,False,-0.221423
"education, activity, income",add,aesfdrk,True,0.438077
"education, activity, income",add,atchctr,False,-0.319926
"education, activity, income",add,atcherp,False,-0.475295
"education, activity, income",add,cptppola,False,-0.291432
"education, activity, income",add,euftf,False,-0.08152
"education, activity, income",add,freehms,True,0.531023
"education, activity, income",add,gincdif,True,0.103582
"education, activity, income",add,happy,False,-0.032752
"education, activity, income",add,health,True,0.458017
"education, activity, income",add,hincfel,True,0.053284
"education, activity, income",add,hmsacld,True,0.300309
"education, activity, income",add,hmsfmlsh,True,-0.093516
"education, activity, income",add,imbgeco,False,-0.278479
"education, activity, income",add,imdfetn,True,0.008461
"education, activity, income",add,impcntr,True,1.5e-05
"education, activity, income",add,imsmetn,True,-0.156485
"education, activity, income",add,imueclt,False,-0.124139
"education, activity, income",add,imwbcnt,False,-0.22043
